SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
1,0.100952,0.775347,0.100952,0.775347,0.43815,0.303271,0.573029
2,0.157143,0.539704,0.157143,0.539704,0.348423,0.271911,0.424935
3,0.187743,0.634921,0.187743,0.634921,0.411332,0.321896,0.500767
4,0.302439,0.677048,0.302439,0.677048,0.489744,0.414822,0.564666
5,0.24188,0.712468,0.24188,0.712468,0.477174,0.383057,0.571291
6,0.232579,0.571894,0.232579,0.571894,0.402236,0.334374,0.470099
7,0.327937,0.572556,0.327937,0.572556,0.450246,0.401322,0.49917
8,0.3,0.471465,0.3,0.471465,0.385732,0.351439,0.420025
9,0.202652,0.602674,0.202652,0.602674,0.402663,0.322658,0.482667
10,0.17197,0.637812,0.17197,0.637812,0.404891,0.311722,0.498059
11,0.388889,0.631363,0.388889,0.631363,0.510126,0.461631,0.55862
12,0.320644,0.596543,0.320644,0.596543,0.458593,0.403414,0.513773
13,0.306481,0.266103,0.306481,0.266103,0.286292,0.294368,0.278217
14,0.347176,0.42483,0.347176,0.42483,0.386003,0.370472,0.401534
15,0.295505,0.636553,0.295505,0.636553,0.466029,0.397819,0.534238
16,0.196725,0.880615,0.196725,0.880615,0.53867,0.401892,0.675448
17,0.205318,0.796889,0.205318,0.796889,0.501103,0.382789,0.619418
18,0.285383,0.611109,0.285383,0.611109,0.448246,0.383101,0.513391
19,0.274279,0.886111,0.274279,0.886111,0.580195,0.457828,0.702561
20,0.258631,0.167879,0.258631,0.167879,0.213255,0.231405,0.195105
21,0.385659,0.972222,0.385659,0.972222,0.678941,0.561628,0.796253
22,0.209551,0.744142,0.209551,0.744142,0.476846,0.369928,0.583765
23,0.142045,0.544643,0.142045,0.544643,0.343344,0.262825,0.423864
24,0.144097,0.677001,0.144097,0.677001,0.410549,0.303968,0.51713
25,0.253704,0.963869,0.253704,0.963869,0.608787,0.466753,0.75082
26,0.252315,0.73017,0.252315,0.73017,0.491243,0.395671,0.586814
27,0.203704,0.721483,0.203704,0.721483,0.462593,0.359038,0.566149
28,0.25,0.965278,0.25,0.965278,0.607639,0.464583,0.750694
29,0.056667,0.640741,0.056667,0.640741,0.348704,0.231889,0.465519
30,0.133827,0.714782,0.133827,0.714782,0.424304,0.308114,0.540495
31,0.246353,0.535401,0.246353,0.535401,0.390877,0.333067,0.448687
32,0.202828,0.449189,0.202828,0.449189,0.326009,0.276737,0.375281
33,0.191111,0.764279,0.191111,0.764279,0.477695,0.363061,0.592329
34,0.227506,0.601816,0.227506,0.601816,0.414661,0.339799,0.489523
35,0.265123,0.799872,0.265123,0.799872,0.532498,0.425548,0.639447
36,0.144286,0.522204,0.144286,0.522204,0.333245,0.257661,0.408829
37,0.144938,0.733081,0.144938,0.733081,0.43901,0.321381,0.556638
38,0.26375,0.446296,0.26375,0.446296,0.355023,0.318514,0.391532
39,0.205357,0.622931,0.205357,0.622931,0.414144,0.330629,0.497659
40,0.200404,0.807143,0.200404,0.807143,0.503773,0.382426,0.625121
41,0.221635,0.419255,0.221635,0.419255,0.320445,0.280921,0.359969
42,0.174907,0.724104,0.174907,0.724104,0.449506,0.339667,0.559345
43,0.292593,0.751389,0.292593,0.751389,0.521991,0.430231,0.61375
44,0.191553,0.56685,0.191553,0.56685,0.379201,0.304142,0.454261
45,0.319965,0.578283,0.319965,0.578283,0.449124,0.397461,0.500788
46,0.307744,0.61096,0.307744,0.61096,0.459352,0.398709,0.519995
47,0.205061,0.81781,0.205061,0.81781,0.511436,0.388886,0.633986
48,0.291667,0.864478,0.291667,0.864478,0.578072,0.46351,0.692635
49,0.388889,0.731481,0.388889,0.731481,0.560185,0.491667,0.628704
50,0.19537,0.755748,0.19537,0.755748,0.475559,0.363484,0.587635
51,0.202564,0.561687,0.202564,0.561687,0.382125,0.310301,0.45395
52,0.226787,0.403076,0.226787,0.403076,0.314932,0.279674,0.35019
53,0.281,0.766667,0.281,0.766667,0.523833,0.4267,0.620967
54,0.102857,0.433551,0.102857,0.433551,0.268204,0.202065,0.334343
55,0.128889,0.972222,0.128889,0.972222,0.550556,0.381889,0.719222
56,0.118174,0.680264,0.118174,0.680264,0.399219,0.286801,0.511637
57,0.24333,0.634085,0.24333,0.634085,0.438707,0.360556,0.516859
58,0.239394,0.586806,0.239394,0.586806,0.4131,0.343617,0.482582
59,0.384615,0.688889,0.384615,0.688889,0.536752,0.475897,0.597607
60,0.201429,0.525052,0.201429,0.525052,0.36324,0.298515,0.427965
61,0.215873,0.471458,0.215873,0.471458,0.343665,0.292548,0.394782
62,0.192659,0.509525,0.192659,0.509525,0.351092,0.287719,0.414465
63,0.219444,0.716304,0.219444,0.716304,0.467874,0.368502,0.567246
64,0.282727,0.644568,0.282727,0.644568,0.463648,0.391279,0.536016
65,0.224318,0.710518,0.224318,0.710518,0.467418,0.370178,0.564658
66,0.153611,0.56957,0.153611,0.56957,0.36159,0.278399,0.444782
67,0.226579,0.794414,0.226579,0.794414,0.510497,0.39693,0.624064
68,0.343637,0.786667,0.343637,0.786667,0.565152,0.476546,0.653758
69,0.280232,0.696181,0.280232,0.696181,0.488207,0.405017,0.571397
70,0.057823,0.657246,0.057823,0.657246,0.357535,0.23765,0.477419
71,0.176421,0.898661,0.176421,0.898661,0.537541,0.393093,0.681989
72,0.12037,0.749775,0.12037,0.749775,0.435073,0.309192,0.560954
73,0.285802,0.650623,0.285802,0.650623,0.468213,0.395249,0.541177
74,0.338344,0.600989,0.338344,0.600989,0.469666,0.417137,0.522195
75,0.15068,0.656062,0.15068,0.656062,0.403371,0.302295,0.504447
76,0.297604,0.479118,0.297604,0.479118,0.388361,0.352058,0.424664
77,0.188738,0.671408,0.188738,0.671408,0.430073,0.333539,0.526607
78,0.205099,0.527509,0.205099,0.527509,0.366304,0.301822,0.430786
79,0.261574,0.711411,0.261574,0.711411,0.486493,0.396525,0.57646
80,0.199634,0.605967,0.199634,0.605967,0.4028,0.321534,0.484067
81,0.290033,0.828125,0.290033,0.828125,0.559079,0.45146,0.666697
82,0.240013,0.415,0.240013,0.415,0.327506,0.292509,0.362504
83,0.122222,0.453953,0.122222,0.453953,0.288088,0.221741,0.354434
84,0.283333,0.701948,0.283333,0.701948,0.492641,0.408918,0.576364
85,0.097222,0.492265,0.097222,0.492265,0.294744,0.215735,0.373752
86,0.02,0.509131,0.02,0.509131,0.264565,0.166739,0.362391
87,0.284444,0.558913,0.284444,0.558913,0.421679,0.366785,0.476572
88,0.205556,0.776601,0.205556,0.776601,0.491078,0.376869,0.605287
89,0.139448,0.719546,0.139448,0.719546,0.429497,0.313477,0.545516
90,0.276786,0.52541,0.276786,0.52541,0.401098,0.351373,0.450823
91,0.26337,0.706976,0.26337,0.706976,0.485173,0.396452,0.573895
92,0.313131,0.571337,0.313131,0.571337,0.442234,0.390593,0.493875
93,0.309524,0.900617,0.309524,0.900617,0.605071,0.486852,0.723289
94,0.212739,0.72453,0.212739,0.72453,0.468635,0.366277,0.570993
95,0.166667,0.543175,0.166667,0.543175,0.354921,0.279619,0.430222
96,0.231633,0.710774,0.231633,0.710774,0.471204,0.375375,0.567032
97,0.236111,0.556106,0.236111,0.556106,0.396108,0.332109,0.460107
98,0.318783,0.622096,0.318783,0.622096,0.470439,0.409777,0.531102
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.25232,0.304005,0.25232,0.304005,0.278162,0.267825,0.288499
101,0.08125,0.465859,0.08125,0.465859,0.273555,0.196633,0.350477
102,0.17547,0.788059,0.17547,0.788059,0.481765,0.359247,0.604282
103,0.246212,0.666045,0.246212,0.666045,0.456128,0.372162,0.540095
104,0.223611,0.577727,0.223611,0.577727,0.400669,0.329846,0.471493
105,0.174603,0.425298,0.174603,0.425298,0.29995,0.249812,0.350089
106,0.248155,0.697031,0.248155,0.697031,0.472593,0.382818,0.562368
107,0.227814,0.531692,0.227814,0.531692,0.379753,0.318977,0.440528
108,0.18618,0.774809,0.18618,0.774809,0.480494,0.362769,0.59822
109,0.319077,0.92,0.319077,0.92,0.619538,0.499354,0.739723
110,0.142857,0.430247,0.142857,0.430247,0.286552,0.229074,0.34403
111,0.269952,0.440816,0.269952,0.440816,0.355384,0.321211,0.389557
112,0.387121,0.602169,0.387121,0.602169,0.494645,0.451635,0.537655
113,0.268778,0.62847,0.268778,0.62847,0.448624,0.376685,0.520562
114,0.173639,0.793914,0.173639,0.793914,0.483777,0.359722,0.607831
115,0.020833,0.581499,0.020833,0.581499,0.301166,0.189033,0.413299
116,0.034722,0.773952,0.034722,0.773952,0.404337,0.256491,0.552183
117,0.234722,0.744038,0.234722,0.744038,0.48938,0.387517,0.591243
118,0.206019,0.423173,0.206019,0.423173,0.314596,0.271165,0.358027
119,0.242593,0.673364,0.242593,0.673364,0.457978,0.371824,0.544132
120,0.246753,0.408558,0.246753,0.408558,0.327656,0.295295,0.360017
121,0.177293,0.648717,0.177293,0.648717,0.413005,0.31872,0.50729
122,0.3,0.502364,0.3,0.502364,0.401182,0.360709,0.441655
123,0.358392,0.489553,0.358392,0.489553,0.423973,0.39774,0.450205
124,0.067677,0.574662,0.067677,0.574662,0.321169,0.219772,0.422566
125,0.196834,0.66089,0.196834,0.66089,0.428862,0.336051,0.521673
126,0.276746,0.77088,0.276746,0.77088,0.523813,0.424987,0.62264
127,0.174735,0.293756,0.174735,0.293756,0.234245,0.210441,0.258049
128,0.303361,0.258756,0.303361,0.258756,0.281058,0.28998,0.272137
129,0.433333,0.5,0.433333,0.5,0.466667,0.453333,0.48
130,0.431493,0.444119,0.431493,0.444119,0.437806,0.435281,0.440331
131,0.41284,0.540318,0.41284,0.540318,0.476579,0.451083,0.502074
132,0.249928,0.650238,0.249928,0.650238,0.450083,0.370021,0.530145
133,0.343761,0.78123,0.343761,0.78123,0.562495,0.475002,0.649989
134,0.216595,0.902063,0.216595,0.902063,0.559329,0.422235,0.696423
135,0.234636,0.483525,0.234636,0.483525,0.35908,0.309303,0.408858
136,0.122917,0.850278,0.122917,0.850278,0.486597,0.341125,0.632069
137,0.208268,0.517818,0.208268,0.517818,0.363043,0.301133,0.424953
138,0.161925,0.622545,0.161925,0.622545,0.392235,0.300111,0.484359
139,0.245829,0.494444,0.245829,0.494444,0.370137,0.320414,0.41986
140,0.259103,0.357639,0.259103,0.357639,0.308371,0.288663,0.328078
141,0.276282,0.450462,0.276282,0.450462,0.363372,0.328536,0.398208
142,0.201896,0.66724,0.201896,0.66724,0.434568,0.341499,0.527637
143,0.217698,0.738448,0.217698,0.738448,0.478073,0.373923,0.582223
144,0.070455,0.606656,0.070455,0.606656,0.338556,0.231315,0.445796
145,0.176129,0.575466,0.176129,0.575466,0.375797,0.29593,0.455665
146,0.010204,0.589188,0.010204,0.589188,0.299696,0.183899,0.415493
147,0.25,0.725919,0.25,0.725919,0.48796,0.392776,0.583143
148,0.18619,0.693653,0.18619,0.693653,0.439922,0.338429,0.541414
149,0.145602,0.510381,0.145602,0.510381,0.327991,0.255036,0.400947
150,0.258333,0.506349,0.258333,0.506349,0.382341,0.332738,0.431944
151,0.290393,0.764663,0.290393,0.764663,0.527528,0.432674,0.622382
152,0.166667,0.730413,0.166667,0.730413,0.44854,0.335791,0.561289
153,0.207189,0.610417,0.207189,0.610417,0.408803,0.328157,0.489448
154,0.24966,0.770353,0.24966,0.770353,0.510006,0.405868,0.614145
155,0.240741,0.5125,0.240741,0.5125,0.37662,0.322269,0.430972
156,0.334936,0.783333,0.334936,0.783333,0.559135,0.469455,0.648814
157,0.025,0.733274,0.025,0.733274,0.379137,0.237482,0.520792
158,0.098214,0.652006,0.098214,0.652006,0.37511,0.264352,0.485869
159,0.079365,0.93695,0.079365,0.93695,0.508157,0.336641,0.679674
160,0.178819,0.409192,0.178819,0.409192,0.294006,0.247931,0.34008
161,0.037393,0.358246,0.037393,0.358246,0.19782,0.133649,0.26199
162,0.120726,0.65724,0.120726,0.65724,0.388983,0.281681,0.496286
163,0.315208,0.908681,0.315208,0.908681,0.611945,0.49325,0.730639
164,0.314286,0.695238,0.314286,0.695238,0.504762,0.428571,0.580952
165,0.283678,0.711899,0.283678,0.711899,0.497788,0.412144,0.583433
166,0.348485,0.638889,0.348485,0.638889,0.493687,0.435606,0.551768
167,0.388889,0.763468,0.388889,0.763468,0.576178,0.501263,0.651094
168,0.266221,0.746212,0.266221,0.746212,0.506216,0.410218,0.602215
169,0.274167,0.874306,0.274167,0.874306,0.574236,0.454208,0.694264
170,0.252381,0.714969,0.252381,0.714969,0.483675,0.391158,0.576193
171,0.29529,0.645788,0.29529,0.645788,0.470539,0.400439,0.540639
172,0.253889,0.425496,0.253889,0.425496,0.339693,0.305371,0.374014
173,0.174804,0.71705,0.174804,0.71705,0.445927,0.337478,0.554376
174,0.036395,0.46,0.036395,0.46,0.248197,0.163476,0.332918
175,0.28373,0.426555,0.28373,0.426555,0.355142,0.326577,0.383707
176,0.270833,0.727,0.270833,0.727,0.498917,0.407683,0.59015
177,0.244444,0.8575,0.244444,0.8575,0.550972,0.428361,0.673583
178,1.0,1.0,1.0,1.0,1.0,1.0,1.0
179,0.080357,0.90119,0.080357,0.90119,0.490774,0.326607,0.65494
180,0.107143,0.419841,0.107143,0.419841,0.263492,0.200952,0.326032
181,0.38125,0.849145,0.38125,0.849145,0.615198,0.521619,0.708777
182,0.200535,0.685389,0.200535,0.685389,0.442962,0.345991,0.539933
183,0.342857,0.638714,0.342857,0.638714,0.490786,0.431614,0.549957
184,0.23,0.614363,0.23,0.614363,0.422181,0.345309,0.499054
185,0.352608,0.431845,0.352608,0.431845,0.392226,0.376379,0.408074
186,0.35119,0.72115,0.35119,0.72115,0.53617,0.462178,0.610162
187,0.33547,0.76086,0.33547,0.76086,0.548165,0.463087,0.633243
188,0.290278,0.473854,0.290278,0.473854,0.382066,0.345351,0.418781
189,0.252361,0.617424,0.252361,0.617424,0.434893,0.36188,0.507905
190,0.314583,0.56096,0.314583,0.56096,0.437771,0.388496,0.487047
191,0.125,0.738889,0.125,0.738889,0.431944,0.309167,0.554722
192,0.155844,0.730489,0.155844,0.730489,0.443167,0.328238,0.558096
193,0.145652,0.642857,0.145652,0.642857,0.394255,0.294814,0.493696
194,0.111111,0.528361,0.111111,0.528361,0.319736,0.236286,0.403186
