SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
85,0.097222,0.560417,0.097222,0.560417,0.328819,0.236181,0.421458
86,0.1,0.54711,0.1,0.54711,0.323555,0.234133,0.412977
87,0.184444,0.380934,0.184444,0.380934,0.282689,0.243391,0.321987
88,0.20246,0.616144,0.20246,0.616144,0.409302,0.326565,0.492039
89,0.184832,0.330979,0.184832,0.330979,0.257905,0.228676,0.287135
90,0.298268,0.403493,0.298268,0.403493,0.35088,0.329835,0.371926
91,0.262835,0.412711,0.262835,0.412711,0.337773,0.307798,0.367749
92,0.313131,0.542289,0.313131,0.542289,0.42771,0.381879,0.473542
93,0.309524,0.959259,0.309524,0.959259,0.634392,0.504444,0.764339
94,0.211821,0.682963,0.211821,0.682963,0.447392,0.353163,0.54162
95,0.159091,0.042222,0.159091,0.042222,0.100657,0.12403,0.077283
96,0.228571,0.386667,0.228571,0.386667,0.307619,0.276,0.339238
97,0.274849,0.100189,0.274849,0.100189,0.187519,0.222451,0.152587
98,0.318783,0.190476,0.318783,0.190476,0.25463,0.280291,0.228968
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.234316,0.359701,0.234316,0.359701,0.297008,0.271931,0.322085
101,0.08125,0.175697,0.08125,0.175697,0.128473,0.109584,0.147363
102,0.139731,0.288682,0.139731,0.288682,0.214206,0.184416,0.243997
103,0.19697,0.282886,0.19697,0.282886,0.239928,0.222745,0.257111
104,0.222222,0.365206,0.222222,0.365206,0.293714,0.265117,0.322311
105,0.166667,0.430253,0.166667,0.430253,0.29846,0.245743,0.351177
106,0.24744,0.189652,0.24744,0.189652,0.218546,0.230104,0.206989
107,0.182531,0.286011,0.182531,0.286011,0.234271,0.213575,0.254967
108,0.197557,0.35,0.197557,0.35,0.273778,0.24329,0.304267
109,0.269645,0.341667,0.269645,0.341667,0.305656,0.291251,0.32006
110,0.185714,0.15651,0.185714,0.15651,0.171112,0.176953,0.165271
111,0.309313,0.407952,0.309313,0.407952,0.358633,0.338905,0.378361
112,0.378506,1.0,0.378506,1.0,0.689253,0.564954,0.813552
113,0.297818,0.21644,0.297818,0.21644,0.257129,0.273405,0.240853
114,0.172449,0.580741,0.172449,0.580741,0.376595,0.294937,0.458253
115,0.027778,0.107143,0.027778,0.107143,0.06746,0.051587,0.083333
116,0.041667,0.107143,0.041667,0.107143,0.074405,0.06131,0.0875
117,0.269444,0.700379,0.269444,0.700379,0.484912,0.398725,0.571098
118,0.206019,0.93649,0.206019,0.93649,0.571254,0.42516,0.717348
119,0.211111,0.5,0.211111,0.5,0.355556,0.297778,0.413333
120,0.246753,0.47103,0.246753,0.47103,0.358892,0.314036,0.403747
121,0.121016,0.760564,0.121016,0.760564,0.44079,0.31288,0.568699
122,0.3,0.5,0.3,0.5,0.4,0.36,0.44
123,0.359215,0.513889,0.359215,0.513889,0.436552,0.405617,0.467487
124,0.060227,0.524472,0.060227,0.524472,0.29235,0.199501,0.385198
125,0.221525,0.344661,0.221525,0.344661,0.283093,0.258466,0.30772
126,0.233451,0.32186,0.233451,0.32186,0.277655,0.259974,0.295337
127,0.173339,0.178098,0.173339,0.178098,0.175719,0.174767,0.176671
128,0.186695,0.065278,0.186695,0.065278,0.125986,0.15027,0.101703
129,0.433333,0.5,0.433333,0.5,0.466667,0.453333,0.48
130,0.41875,0.668376,0.41875,0.668376,0.543563,0.493638,0.593488
131,0.413333,0.640598,0.413333,0.640598,0.526966,0.481513,0.572419
132,0.1875,0.308333,0.1875,0.308333,0.247917,0.22375,0.272083
133,0.30096,0.733228,0.30096,0.733228,0.517094,0.43064,0.603547
134,0.166504,0.622298,0.166504,0.622298,0.394401,0.303242,0.48556
135,0.216931,0.559386,0.216931,0.559386,0.388158,0.319668,0.456649
136,0.180238,0.116856,0.180238,0.116856,0.148547,0.161223,0.135871
137,0.232294,0.541207,0.232294,0.541207,0.38675,0.324968,0.448533
138,0.283155,0.214083,0.283155,0.214083,0.248619,0.262433,0.234804
139,0.252165,0.451801,0.252165,0.451801,0.351983,0.312055,0.39191
140,0.222436,0.382952,0.222436,0.382952,0.302694,0.270591,0.334797
141,0.276282,0.214949,0.276282,0.214949,0.245616,0.257882,0.233349
142,0.201896,0.478264,0.201896,0.478264,0.34008,0.284806,0.395354
143,0.205556,0.612222,0.205556,0.612222,0.408889,0.327556,0.490222
144,0.070455,0.221856,0.070455,0.221856,0.146155,0.115875,0.176436
145,0.215046,0.410025,0.215046,0.410025,0.312536,0.27354,0.351531
146,0.010204,0.355556,0.010204,0.355556,0.18288,0.11381,0.25195
147,0.25,0.746301,0.25,0.746301,0.498151,0.39889,0.597411
148,0.18619,0.416508,0.18619,0.416508,0.301349,0.255286,0.347413
149,0.145602,0.671093,0.145602,0.671093,0.408347,0.303249,0.513446
150,0.207143,0.192381,0.207143,0.192381,0.199762,0.202714,0.19681
151,0.216782,0.042222,0.216782,0.042222,0.129502,0.164414,0.09459
152,0.119048,0.52443,0.119048,0.52443,0.321739,0.240662,0.402815
153,0.207189,0.266667,0.207189,0.266667,0.236928,0.225032,0.248823
154,0.202721,0.350398,0.202721,0.350398,0.276559,0.247024,0.306095
155,0.147436,0.68809,0.147436,0.68809,0.417763,0.309632,0.525894
156,0.334936,0.72381,0.334936,0.72381,0.529373,0.451598,0.607147
157,0.020139,0.445743,0.020139,0.445743,0.232941,0.14782,0.318062
