SentenceID,NounScore,VerbScore,"Noun Only   (1.0, 0.0)","Verb Only   (0.0, 1.0)","Equal       (0.5, 0.5)","Noun-heavy  (0.7, 0.3)","Verb-heavy  (0.3, 0.7)"
85,0.145833,0.109091,0.145833,0.109091,0.127462,0.134811,0.120114
86,0.1,0.376497,0.1,0.376497,0.238248,0.182949,0.293548
87,0.211111,0.081818,0.211111,0.081818,0.146465,0.172323,0.120606
88,0.2375,0.648685,0.2375,0.648685,0.443093,0.360856,0.52533
89,0.162393,0.080736,0.162393,0.080736,0.121565,0.137896,0.105233
90,0.291667,0.568889,0.291667,0.568889,0.430278,0.374833,0.485722
91,0.188312,0.308012,0.188312,0.308012,0.248162,0.224222,0.272102
92,0.057851,0.527526,0.057851,0.527526,0.292689,0.198754,0.386624
93,0.298611,0.573333,0.298611,0.573333,0.435972,0.381028,0.490917
94,0.171296,0.160269,0.171296,0.160269,0.165783,0.167988,0.163577
95,0.126505,0.089377,0.126505,0.089377,0.107941,0.115366,0.100515
96,0.091837,0.407407,0.091837,0.407407,0.249622,0.186508,0.312736
97,0.246032,0.177056,0.246032,0.177056,0.211544,0.225339,0.197749
98,0.190212,0.380952,0.190212,0.380952,0.285582,0.247434,0.32373
99,0.3,0.581818,0.3,0.581818,0.440909,0.384545,0.497273
100,0.211979,0.500714,0.211979,0.500714,0.356347,0.2986,0.414094
101,0.319618,0.329798,0.319618,0.329798,0.324708,0.322672,0.326744
102,0.186813,0.175395,0.186813,0.175395,0.181104,0.183388,0.17882
103,0.264463,0.388672,0.264463,0.388672,0.326568,0.301726,0.35141
104,0.315,0.543434,0.315,0.543434,0.429217,0.38353,0.474904
105,0.326531,0.581818,0.326531,0.581818,0.454174,0.403117,0.505232
106,0.115859,0.12268,0.115859,0.12268,0.119269,0.117905,0.120633
107,0.244476,0.438889,0.244476,0.438889,0.341682,0.3028,0.380565
108,0.159567,0.12716,0.159567,0.12716,0.143364,0.149845,0.136882
109,0.223243,0.356364,0.223243,0.356364,0.289804,0.26318,0.316428
110,0.010204,0.220503,0.010204,0.220503,0.115353,0.073294,0.157413
111,0.231019,0.342656,0.231019,0.342656,0.286837,0.26451,0.309165
112,0.228708,0.417479,0.228708,0.417479,0.323094,0.285339,0.360848
113,0.048545,0.102559,0.048545,0.102559,0.075552,0.064749,0.086354
114,0.162925,0.629181,0.162925,0.629181,0.396053,0.302802,0.489304
115,0.224286,0.345106,0.224286,0.345106,0.284696,0.260532,0.30886
116,0.214286,0.345106,0.214286,0.345106,0.279696,0.253532,0.30586
117,0.211538,0.411818,0.211538,0.411818,0.311678,0.271622,0.351734
118,0.244066,0.602078,0.244066,0.602078,0.423072,0.35147,0.494675
119,0.15,0.784375,0.15,0.784375,0.467188,0.340313,0.594063
120,0.272727,0.536706,0.272727,0.536706,0.404717,0.351921,0.457513
121,0.304938,0.310048,0.304938,0.310048,0.307493,0.306471,0.308515
122,0.06,0.5,0.06,0.5,0.28,0.192,0.368
123,0.140853,0.191379,0.140853,0.191379,0.166116,0.156011,0.176221
124,0.162338,0.508325,0.162338,0.508325,0.335331,0.266134,0.404529
125,0.186467,0.161759,0.186467,0.161759,0.174113,0.179055,0.169171
126,0.030864,0.368878,0.030864,0.368878,0.199871,0.132268,0.267474
127,0.04,0.065278,0.04,0.065278,0.052639,0.047583,0.057694
128,0.064815,0.174189,0.064815,0.174189,0.119502,0.097627,0.141377
129,0.028889,0.5,0.028889,0.5,0.264444,0.170222,0.358667
130,1.0,1.0,1.0,1.0,1.0,1.0,1.0
131,1.0,1.0,1.0,1.0,1.0,1.0,1.0
132,0.070248,0.266667,0.070248,0.266667,0.168457,0.129174,0.207741
133,0.163294,0.666667,0.163294,0.666667,0.41498,0.314306,0.515655
134,0.206294,0.479596,0.206294,0.479596,0.342945,0.288284,0.397605
135,0.242063,0.54931,0.242063,0.54931,0.395687,0.334237,0.457136
136,0.271667,0.914583,0.271667,0.914583,0.593125,0.464542,0.721708
137,0.267429,0.619861,0.267429,0.619861,0.443645,0.373158,0.514131
138,0.270833,0.425532,0.270833,0.425532,0.348183,0.317243,0.379122
139,0.185065,0.32331,0.185065,0.32331,0.254187,0.226538,0.281836
140,0.246667,0.508865,0.246667,0.508865,0.377766,0.325326,0.430206
141,0.283135,0.25491,0.283135,0.25491,0.269023,0.274668,0.263378
142,0.172222,0.355067,0.172222,0.355067,0.263645,0.227076,0.300214
143,0.165385,0.372321,0.165385,0.372321,0.268853,0.227466,0.31024
144,0.066667,0.701111,0.066667,0.701111,0.383889,0.257,0.510778
145,0.074074,0.407784,0.074074,0.407784,0.240929,0.174187,0.307671
146,0.346818,0.633136,0.346818,0.633136,0.489977,0.432714,0.547241
147,0.272222,0.401323,0.272222,0.401323,0.336772,0.310952,0.362593
148,0.21,0.202857,0.21,0.202857,0.206429,0.207857,0.205
149,0.055556,0.565691,0.055556,0.565691,0.310623,0.208596,0.412651
150,0.204545,0.419048,0.204545,0.419048,0.311797,0.268896,0.354697
151,0.2375,0.168889,0.2375,0.168889,0.203194,0.216917,0.189472
152,0.146465,0.795238,0.146465,0.795238,0.470851,0.341097,0.600606
153,0.239881,0.501957,0.239881,0.501957,0.370919,0.318504,0.423334
154,0.181818,0.388788,0.181818,0.388788,0.285303,0.243909,0.326697
